week,timestamp,source_window,total_load,mean_od,p95_od,max_od,cv_od,next_total_load,relative_change
X01,2004-03-01T14:05:00,169,0.89215673,0.00619553,0.02221529,0.11536898,2.00945770,0.94370106,0.05777498
X01,2004-03-01T14:45:00,177,1.00535771,0.00698165,0.02839147,0.10628441,1.81825407,0.96301199,-0.04212006
X01,2004-03-01T15:25:00,185,1.06183021,0.00737382,0.02823125,0.11089238,1.75306184,1.10728523,0.04280819
X01,2004-03-01T16:10:00,194,1.09838785,0.00762769,0.02950663,0.10414993,1.65144599,1.09123575,-0.00651146
X01,2004-03-01T16:50:00,202,1.20265832,0.00835179,0.03269186,0.09909762,1.55853376,1.22665780,0.01995536
X01,2004-03-01T17:35:00,211,1.28933367,0.00895371,0.02949458,0.11260025,1.50205917,1.34281285,0.04147816
X01,2004-03-01T18:15:00,219,1.29736623,0.00900949,0.03197665,0.10644954,1.47954926,1.26461256,-0.02524628
X01,2004-03-01T19:00:00,228,1.30797944,0.00908319,0.03117983,0.07884696,1.32226856,1.24926903,-0.04488634
X01,2004-03-01T19:40:00,236,1.36392086,0.00947167,0.03521481,0.09680936,1.37186480,1.37351051,0.00703095
X01,2004-03-01T20:20:00,244,1.33500936,0.00927090,0.03018194,0.09830252,1.41054207,1.33689748,0.00141432
X01,2004-03-01T21:05:00,253,1.24564518,0.00865031,0.03064099,0.09252353,1.38377580,1.29023935,0.03580006
X01,2004-03-01T21:45:00,261,1.30884648,0.00908921,0.03095075,0.06956489,1.27396921,1.32297659,0.01079585
X01,2004-03-01T22:30:00,270,1.34050993,0.00930910,0.03292400,0.07960836,1.28511529,1.33259850,-0.00590181
X01,2004-03-01T23:10:00,278,1.46899072,0.01020132,0.03149395,0.28190769,2.46663480,1.36335802,-0.07190835
X01,2004-03-01T23:55:00,287,1.16795614,0.00811081,0.02858634,0.05791094,1.28460484,1.15597837,-0.01025532
X01,2004-03-02T00:35:00,295,1.16637466,0.00809982,0.02937177,0.06251695,1.31699860,1.19429186,0.02393502
X01,2004-03-02T01:20:00,304,1.15479508,0.00801941,0.03010433,0.05601395,1.32973712,1.29706179,0.12319651
X01,2004-03-02T02:00:00,312,1.20113303,0.00834120,0.03028280,0.05666721,1.33889875,1.18645235,-0.01222236
X01,2004-03-02T02:40:00,320,1.21174489,0.00841490,0.03281469,0.07027516,1.38920062,1.17698069,-0.02868937
X01,2004-03-02T03:25:00,329,1.18018013,0.00819570,0.02987838,0.07883529,1.38065100,1.16270571,-0.01480657
X01,2004-03-02T04:05:00,337,1.11087868,0.00771444,0.02563459,0.06519471,1.35775110,1.15379742,0.03863495
X01,2004-03-02T04:50:00,346,1.11942570,0.00777379,0.02500813,0.06363228,1.41588594,1.09211878,-0.02439369
X01,2004-03-02T05:30:00,354,1.11575835,0.00774832,0.02833070,0.07277417,1.35361362,1.11609223,0.00029924
X01,2004-03-02T06:15:00,363,1.06784402,0.00741558,0.02527190,0.07719100,1.41174318,1.05866535,-0.00859551
X01,2004-03-02T06:55:00,371,1.02969224,0.00715064,0.02534464,0.06831028,1.38362329,1.02338184,-0.00612843
X01,2004-03-02T07:35:00,379,1.09282607,0.00758907,0.02858297,0.07405062,1.43535166,1.11011866,0.01582373
X01,2004-03-02T08:20:00,388,1.02955871,0.00714971,0.02427385,0.08627745,1.51171850,1.04328569,0.01333288
X01,2004-03-02T09:00:00,396,1.06616811,0.00740395,0.02420509,0.09487848,1.55754954,0.97335162,-0.08705615
X01,2004-03-02T09:45:00,405,1.04082594,0.00722796,0.02642424,0.09842795,1.69169105,1.02447429,-0.01571027
X01,2004-03-02T10:25:00,413,1.04913934,0.00728569,0.02641864,0.12173830,1.83815709,1.02337469,-0.02455789
X01,2004-03-02T11:10:00,422,0.96302622,0.00668768,0.02522703,0.09918869,1.74796187,0.91795823,-0.04679830
X01,2004-03-02T11:50:00,430,0.89014484,0.00618156,0.02025318,0.08744895,1.73846348,0.87478187,-0.01725895
X01,2004-03-02T12:30:00,438,0.95847294,0.00665606,0.02685340,0.09667096,1.75694125,0.90267670,-0.05821368
X01,2004-03-02T13:15:00,447,0.96631512,0.00671052,0.02349056,0.10044582,1.75777826,0.97547757,0.00948185
X01,2004-03-02T13:55:00,455,0.96868314,0.00672697,0.02299226,0.09577428,1.75789425,1.02414388,0.05725374
X01,2004-03-02T14:40:00,464,1.13197260,0.00786092,0.02736402,0.10347909,1.69185772,1.09135297,-0.03588393
X01,2004-03-02T15:20:00,472,1.11661126,0.00775424,0.02811591,0.10761416,1.69094104,1.16304111,0.04158104
X01,2004-03-02T16:05:00,481,1.14070672,0.00792157,0.02833822,0.10424756,1.65255245,1.25004474,0.09585112
X01,2004-03-02T16:45:00,489,1.27544002,0.00885722,0.02936817,0.11239231,1.60366073,1.24643962,-0.02273756
X01,2004-03-02T17:25:00,497,1.24467812,0.00864360,0.02785297,0.09595936,1.53953708,1.23394285,-0.00862494
X01,2004-03-02T18:10:00,506,1.32201207,0.00918064,0.03127740,0.11038771,1.55725770,1.25543917,-0.05035726
X01,2004-03-02T18:50:00,514,1.28052342,0.00889252,0.03114279,0.09461927,1.45072843,1.29416640,0.01065422
X01,2004-03-02T19:35:00,523,1.34785105,0.00936008,0.03405506,0.08523125,1.43175530,1.34122678,-0.00491469
X01,2004-03-02T20:15:00,531,1.32991065,0.00923549,0.03096360,0.09502476,1.47345555,1.26378426,-0.04972243
X01,2004-03-02T21:00:00,540,1.27145910,0.00882958,0.02778160,0.07938304,1.36593607,1.26698484,-0.00351900
X01,2004-03-02T21:40:00,548,1.30763663,0.00908081,0.03155759,0.09475369,1.39785125,1.26449096,-0.03299515
X01,2004-03-02T22:20:00,556,1.24834916,0.00866909,0.03158633,0.09750184,1.42745540,1.21605342,-0.02587076
X01,2004-03-02T23:05:00,565,1.13760791,0.00790005,0.02812348,0.06166846,1.30592911,1.16149663,0.02099908
X01,2004-03-02T23:45:00,573,1.14782053,0.00797098,0.02859787,0.05817698,1.28567442,1.10629087,-0.03618132
X01,2004-03-03T00:30:00,582,1.11749419,0.00776038,0.02766687,0.06113009,1.26958299,1.10101335,-0.01474804
X01,2004-03-03T01:10:00,590,1.16791231,0.00811050,0.02859316,0.06857100,1.31549163,1.08361450,-0.07217820
X01,2004-03-03T01:55:00,599,1.01982002,0.00708208,0.02566630,0.06507074,1.35036375,1.06009783,0.03949502
X01,2004-03-03T02:35:00,607,1.05133794,0.00730096,0.02547420,0.06885538,1.31379728,1.05444290,0.00295334
X01,2004-03-03T03:15:00,615,1.03834406,0.00721072,0.02309111,0.08072406,1.42389395,1.04218028,0.00369455
X01,2004-03-03T04:00:00,624,1.05163030,0.00730299,0.02424206,0.06886362,1.37868969,1.03755736,-0.01338202
X01,2004-03-03T04:40:00,632,1.05095074,0.00729827,0.02421344,0.07587270,1.38556990,1.06093971,0.00950470
X01,2004-03-03T05:25:00,641,0.98742515,0.00685712,0.02239078,0.06570692,1.36410804,1.02735645,0.04043983
X01,2004-03-03T06:05:00,649,0.93872125,0.00651890,0.02239087,0.06707124,1.41737596,0.96135138,0.02410740
X01,2004-03-03T06:50:00,658,0.95652677,0.00664255,0.02176920,0.07089502,1.48851711,0.92611835,-0.03179045
X01,2004-03-03T07:30:00,666,1.00532912,0.00698145,0.02405172,0.06588993,1.44673935,1.00505624,-0.00027144
X01,2004-03-03T08:10:00,674,0.97010687,0.00673685,0.02513547,0.08760828,1.59399419,0.92599041,-0.04547588
X01,2004-03-03T08:55:00,683,0.93845192,0.00651703,0.02395693,0.09152302,1.63037402,0.95304605,0.01555128
X01,2004-03-03T09:35:00,691,0.95946948,0.00666298,0.02369092,0.10557544,1.75382926,0.99864599,0.04083143
X01,2004-03-03T10:20:00,700,0.88031252,0.00611328,0.02056010,0.09822502,1.75950545,0.90616320,0.02936534
X01,2004-03-03T11:00:00,708,0.96447043,0.00669771,0.02323506,0.10685454,1.77194311,0.91012903,-0.05634325
X01,2004-03-03T11:45:00,717,0.89255011,0.00619826,0.02239113,0.10100025,1.82575514,0.88124933,-0.01266123
X01,2004-03-03T12:25:00,725,0.89517826,0.00621652,0.02343312,0.09383757,1.75927576,0.88956036,-0.00627573
X01,2004-03-03T13:05:00,733,0.84339959,0.00585694,0.02303556,0.08713686,1.75672528,0.90989984,0.07884786
X01,2004-03-03T13:50:00,742,0.90488843,0.00628395,0.02389059,0.10483872,1.81480727,0.90792087,0.00335117
X01,2004-03-03T14:30:00,750,1.02105098,0.00709063,0.02625996,0.10155249,1.70392195,0.99820733,-0.02237269
X01,2004-03-03T15:15:00,759,1.11039176,0.00771105,0.02790533,0.11084091,1.95082495,1.08112575,-0.02635647
X01,2004-03-03T15:55:00,767,1.08562458,0.00753906,0.02993468,0.09877841,1.63484816,1.15618566,0.06499584
X01,2004-03-03T16:40:00,776,1.24738999,0.00866243,0.03585501,0.09555244,1.58319284,1.23574318,-0.00933695
X01,2004-03-03T17:20:00,784,1.14894135,0.00797876,0.02863248,0.08672619,1.56150700,1.19278154,0.03815703
X01,2004-03-03T18:05:00,793,1.41818663,0.00984852,0.03533304,0.18523170,2.05407177,1.38045112,-0.02660828
X01,2004-03-03T18:45:00,801,1.24264841,0.00862950,0.02963914,0.07331933,1.39054557,1.22609603,-0.01332024
X01,2004-03-03T19:25:00,809,1.26449082,0.00878119,0.03265287,0.07573103,1.44994724,1.28743527,0.01814521
X01,2004-03-03T20:10:00,818,1.25212396,0.00869531,0.02937571,0.07509861,1.34107832,1.22672403,-0.02028548
X01,2004-03-03T20:50:00,826,1.28213787,0.00890374,0.03194497,0.07911545,1.40175564,1.31540121,0.02594366
X01,2004-03-03T21:35:00,835,1.25711660,0.00872998,0.03133722,0.08483044,1.37449481,1.31540390,0.04636587
X01,2004-03-03T22:15:00,843,1.30500946,0.00906257,0.03395090,0.09310600,1.41256182,1.30989618,0.00374459
X01,2004-03-03T23:00:00,852,1.26516710,0.00878588,0.03178128,0.07031355,1.35718380,1.27270717,0.00595974
X01,2004-03-03T23:40:00,860,1.31823494,0.00915441,0.03491507,0.06733936,1.32206572,1.23887633,-0.06020065
X01,2004-03-04T00:20:00,868,1.23888607,0.00860338,0.02978849,0.07938263,1.46526742,1.15799526,-0.06529318
X01,2004-03-04T01:05:00,877,1.16966449,0.00812267,0.02779586,0.07320789,1.46982731,1.22321830,0.04578562
X01,2004-03-04T01:45:00,885,1.54696281,0.01074280,0.03405193,0.41375337,3.30998052,1.09805514,-0.29018646
X01,2004-03-04T02:30:00,894,1.19477431,0.00829704,0.03069832,0.06027919,1.36372037,1.18425823,-0.00880173
X01,2004-03-04T03:10:00,902,1.18892187,0.00825640,0.03082700,0.06303487,1.38211545,1.14762422,-0.03473537
X01,2004-03-04T03:55:00,911,1.10404893,0.00766701,0.03266530,0.06187931,1.40713408,1.14987180,0.04150438
X01,2004-03-04T04:35:00,919,1.09894097,0.00763153,0.03093026,0.06085258,1.38546883,1.10270758,0.00342749
X01,2004-03-04T05:15:00,927,1.07585049,0.00747118,0.02602815,0.07506264,1.47182741,1.06199981,-0.01287417
X01,2004-03-04T06:00:00,936,1.06060515,0.00736531,0.02973224,0.05376852,1.37268216,1.03768648,-0.02160905
X01,2004-03-04T06:40:00,944,1.12009183,0.00777842,0.03492615,0.05898298,1.44610758,1.07967608,-0.03608254
X01,2004-03-04T07:25:00,953,1.06502892,0.00739603,0.03148945,0.05696762,1.33767945,1.05300342,-0.01129124
X01,2004-03-04T08:05:00,961,1.04649162,0.00726730,0.03276244,0.07339112,1.51642526,1.09286937,0.04431736
X01,2004-03-04T08:50:00,970,1.02910267,0.00714655,0.02786199,0.08436006,1.50690062,1.01191905,-0.01669768
X01,2004-03-04T09:30:00,978,1.10942376,0.00770433,0.02798452,0.09262445,1.53747671,1.08048077,-0.02608831
X01,2004-03-04T10:10:00,986,1.08606559,0.00754212,0.02789349,0.09345533,1.59474556,1.04207944,-0.04050045
X01,2004-03-04T10:55:00,995,1.00535254,0.00698161,0.02449383,0.08951826,1.72026707,1.04651479,0.04094310
X01,2004-03-04T11:35:00,1003,0.98476475,0.00683864,0.02592417,0.09217947,1.75477903,1.06194099,0.07837023
X01,2004-03-04T12:20:00,1012,0.98283416,0.00682524,0.02669784,0.09790091,1.77960597,0.98514874,0.00235501
X01,2004-03-04T13:00:00,1020,1.01718837,0.00706381,0.02783314,0.10663218,1.79072315,0.99373338,-0.02305865
X01,2004-03-04T13:45:00,1029,1.01492611,0.00704810,0.02659690,0.09831254,1.74837658,0.99702116,-0.01764163
X01,2004-03-04T14:25:00,1037,1.05673237,0.00733842,0.02669852,0.10136211,1.73489426,1.09621367,0.03736168
X01,2004-03-04T15:05:00,1045,1.13653772,0.00789262,0.02776089,0.11036068,1.80842984,1.22120345,0.07449443
X01,2004-03-04T15:50:00,1054,1.17247854,0.00814221,0.02932888,0.12352928,1.75443625,1.19425257,0.01857094
X01,2004-03-04T16:30:00,1062,1.27452811,0.00885089,0.03344031,0.10643590,1.52121412,1.29759546,0.01809874
X01,2004-03-04T17:15:00,1071,1.32847070,0.00922549,0.03485104,0.10673655,1.54767866,1.32250183,-0.00449304
X01,2004-03-04T17:55:00,1079,1.26559932,0.00878888,0.02904036,0.09065773,1.47325413,1.31516299,0.03916221
X01,2004-03-04T18:40:00,1088,1.41285290,0.00981148,0.03600402,0.09101090,1.41359550,1.36356419,-0.03488595
X01,2004-03-04T19:20:00,1096,1.33578652,0.00927630,0.03393060,0.09661868,1.47725114,1.38107759,0.03390592
X01,2004-03-04T20:00:00,1104,1.37901563,0.00957650,0.03461939,0.09314888,1.43468318,1.39007578,0.00802032
X01,2004-03-04T20:45:00,1113,1.33103128,0.00924327,0.03230391,0.08722010,1.43537257,1.34676718,0.01182234
X01,2004-03-04T21:25:00,1121,1.32535068,0.00920382,0.02856776,0.07600239,1.35349693,1.35319430,0.02100850
X01,2004-03-04T22:10:00,1130,1.28078921,0.00889437,0.02630557,0.07277772,1.27809976,1.33958471,0.04590568
X01,2004-03-04T22:50:00,1138,1.26795964,0.00880528,0.02532800,0.07270761,1.30736420,1.28787546,0.01570698
X01,2004-03-04T23:35:00,1147,1.20745973,0.00838514,0.02892403,0.06461987,1.27475982,1.21636348,0.00737395
X01,2004-03-05T00:15:00,1155,1.16118025,0.00806375,0.02872730,0.07916684,1.35540507,1.15477777,-0.00551377
X01,2004-03-05T00:55:00,1163,1.10726279,0.00768932,0.03081895,0.06449249,1.37982573,1.13675711,0.02663715
X01,2004-03-05T01:40:00,1172,1.17411111,0.00815355,0.03053732,0.06577989,1.40481178,1.13762680,-0.03107399
X01,2004-03-05T02:20:00,1180,1.14586666,0.00795741,0.02812944,0.07106098,1.43092340,1.12623679,-0.01713102
X01,2004-03-05T03:05:00,1189,1.07712785,0.00748005,0.02722046,0.06577695,1.43814908,1.09439207,0.01602801
X01,2004-03-05T03:45:00,1197,1.11717066,0.00775813,0.03115732,0.06835548,1.40771915,1.06768076,-0.04429932
X01,2004-03-05T04:30:00,1206,1.11625671,0.00775178,0.02989172,0.07387593,1.48068030,1.12310185,0.00613223
X01,2004-03-05T05:10:00,1214,1.08294297,0.00752044,0.02744710,0.06742214,1.38291125,1.03508014,-0.04419700
X01,2004-03-05T05:50:00,1222,0.99951309,0.00694106,0.02573966,0.06667347,1.46836545,1.00343226,0.00392108
X01,2004-03-05T06:35:00,1231,1.04807093,0.00727827,0.03004538,0.07079621,1.46311477,1.08842277,0.03850105
X01,2004-03-05T07:15:00,1239,0.98455482,0.00683719,0.02472178,0.07383837,1.50222101,0.99697613,0.01261617
X01,2004-03-05T08:00:00,1248,1.00032322,0.00694669,0.02783790,0.07300511,1.51570801,1.02587011,0.02553863
X01,2004-03-05T08:40:00,1256,1.05192009,0.00730500,0.03069919,0.09166452,1.61769519,1.01344206,-0.03657886
X01,2004-03-05T09:25:00,1265,0.97186216,0.00674904,0.02708900,0.10247927,1.72876306,1.02206924,0.05166070
X01,2004-03-05T10:05:00,1273,0.95950823,0.00666325,0.02865113,0.11059287,1.83999078,0.99640061,0.03844926
X01,2004-03-05T10:50:00,1282,0.93992346,0.00652725,0.02676082,0.11631337,1.93030304,0.89120774,-0.05182945
X01,2004-03-05T11:30:00,1290,0.90629163,0.00629369,0.02673700,0.10701941,1.85921798,0.91604176,0.01075827
X01,2004-03-05T12:10:00,1298,0.90136617,0.00625949,0.02687662,0.09418898,1.76904235,0.87846240,-0.02541005
X01,2004-03-05T12:55:00,1307,0.80420103,0.00558473,0.02432652,0.07988409,1.77915555,0.86952071,0.08122307
X01,2004-03-05T13:35:00,1315,0.94970957,0.00659521,0.02991730,0.09769643,1.79340706,0.98050261,0.03242364
X01,2004-03-05T14:20:00,1324,0.97948181,0.00680196,0.03110782,0.09637500,1.74749937,0.99914154,0.02007157
X01,2004-03-05T15:00:00,1332,1.07406080,0.00745876,0.03366587,0.11004123,1.74334018,1.04379359,-0.02818017
X01,2004-03-05T15:45:00,1341,1.08857967,0.00755958,0.03385077,0.10695396,1.70482271,1.10221233,0.01252334
X01,2004-03-05T16:25:00,1349,1.21671557,0.00844941,0.03269334,0.11194776,1.66137078,1.21385310,-0.00235262
X01,2004-03-05T17:05:00,1357,1.19081462,0.00826955,0.03307205,0.09853804,1.63914869,1.20407461,0.01113523
X01,2004-03-05T17:50:00,1366,1.13680178,0.00789446,0.03036455,0.08742377,1.49912266,1.15086247,0.01236864
X01,2004-03-05T18:30:00,1374,1.22353260,0.00849675,0.02944468,0.08460572,1.38204163,1.21875470,-0.00390500
X01,2004-03-05T19:15:00,1383,1.23409992,0.00857014,0.03320066,0.09806647,1.56493303,1.21321472,-0.01692342
X01,2004-03-05T19:55:00,1391,1.21349724,0.00842706,0.02825769,0.08764433,1.46575384,1.19147129,-0.01815080
X01,2004-03-05T20:40:00,1400,1.18450201,0.00822571,0.02972412,0.08150517,1.42335306,1.15906021,-0.02147890
X01,2004-03-05T21:20:00,1408,1.13791062,0.00790216,0.02751285,0.08545614,1.50191026,1.07925366,-0.05154795
X01,2004-03-05T22:00:00,1416,1.08508334,0.00753530,0.02467736,0.07979382,1.45163192,1.04214822,-0.03956850
X01,2004-03-05T22:45:00,1425,0.99678944,0.00692215,0.02418249,0.06616911,1.42004186,0.97600823,-0.02084814
X01,2004-03-05T23:25:00,1433,0.96897157,0.00672897,0.02325604,0.06779182,1.40601599,0.98794257,0.01957849
X01,2004-03-06T00:10:00,1442,0.95585808,0.00663790,0.02327249,0.06013396,1.40962545,0.92941389,-0.02766540
X01,2004-03-06T00:50:00,1450,0.85503986,0.00593778,0.02189789,0.05643730,1.45120878,0.87387484,0.02202819
X01,2004-03-06T01:35:00,1459,0.92847119,0.00644772,0.02108584,0.07164929,1.57234208,0.95541650,0.02902115
X01,2004-03-06T02:15:00,1467,0.83836546,0.00582198,0.01882389,0.07267708,1.56214673,0.83100630,-0.00877800
X01,2004-03-06T02:55:00,1475,0.81019392,0.00562635,0.01778909,0.06014788,1.53033904,0.84924200,0.04819597
X01,2004-03-06T03:40:00,1484,0.85797762,0.00595818,0.02149838,0.05352634,1.47596437,0.84122655,-0.01952390
X01,2004-03-06T04:20:00,1492,0.79928590,0.00555060,0.01955862,0.06199366,1.50673740,0.78308053,-0.02027481
X01,2004-03-06T05:05:00,1501,0.78691919,0.00546472,0.01921159,0.05438922,1.54132171,0.82389975,0.04699410
X01,2004-03-06T05:45:00,1509,0.78332160,0.00543973,0.01957947,0.04685967,1.43124336,0.75141696,-0.04072994
X01,2004-03-06T06:30:00,1518,0.79726409,0.00553656,0.01901161,0.05982304,1.52566614,0.76881527,-0.03568305
X01,2004-03-06T07:10:00,1526,0.75470218,0.00524099,0.01769656,0.04957032,1.39207679,0.74345575,-0.01490181
X01,2004-03-06T07:50:00,1534,0.74291849,0.00515916,0.01717343,0.05571812,1.54260553,0.71800439,-0.03353544
X01,2004-03-06T08:35:00,1543,0.79836587,0.00554421,0.02067848,0.05884194,1.56267714,0.78116440,-0.02154584
X01,2004-03-06T09:15:00,1551,0.74062353,0.00514322,0.01776334,0.07106079,1.67296694,0.68435792,-0.07597059
X01,2004-03-06T10:00:00,1560,0.71471983,0.00496333,0.01815327,0.05976487,1.57786964,0.69165273,-0.03227432
X01,2004-03-06T10:40:00,1568,0.76641966,0.00532236,0.01911252,0.06227860,1.66765990,0.73312064,-0.04344751
X01,2004-03-06T11:25:00,1577,0.69175549,0.00480386,0.01907578,0.06161060,1.66697202,0.73128174,0.05713906
X01,2004-03-06T12:05:00,1585,0.66912336,0.00464669,0.01671812,0.06219670,1.80455158,0.69869403,0.04419315
X01,2004-03-06T12:45:00,1593,0.67947919,0.00471861,0.01661905,0.06207197,1.79005818,0.68430815,0.00710685
X01,2004-03-06T13:30:00,1602,0.72004711,0.00500033,0.02015186,0.06896984,1.78080379,0.71606715,-0.00552737
X01,2004-03-06T14:10:00,1610,0.72732875,0.00505089,0.02021991,0.06882790,1.70087479,0.68275870,-0.06127910
X01,2004-03-06T14:55:00,1619,0.68885606,0.00478372,0.01947678,0.07159818,1.83593694,0.70617563,0.02514250
X01,2004-03-06T15:35:00,1627,0.68976711,0.00479005,0.01958320,0.06056755,1.65019777,0.72588776,0.05236644
X01,2004-03-06T16:20:00,1636,0.72161467,0.00501121,0.01927763,0.06049664,1.72946633,0.74905941,0.03803241
X01,2004-03-06T17:00:00,1644,0.72941580,0.00506539,0.01984383,0.05513889,1.55055210,0.71486633,-0.01994675
X01,2004-03-06T17:40:00,1652,0.78967493,0.00548385,0.01961500,0.05532875,1.58687141,0.75732500,-0.04096613
X01,2004-03-06T18:25:00,1661,0.73994608,0.00513851,0.01856378,0.06211287,1.59411186,0.78711119,0.06374127
X01,2004-03-06T19:05:00,1669,0.75153043,0.00521896,0.01959483,0.05277563,1.53808270,0.81240340,0.08099868
X01,2004-03-06T19:50:00,1678,0.83848345,0.00582280,0.02072979,0.06535277,1.47030034,0.82268357,-0.01884340
X01,2004-03-06T20:30:00,1686,0.84668219,0.00587974,0.02278340,0.05538476,1.42196886,0.82844815,-0.02153587
X01,2004-03-06T21:15:00,1695,0.84427650,0.00586303,0.02129096,0.06923932,1.55574155,0.79193252,-0.06199863
X01,2004-03-06T21:55:00,1703,0.82836911,0.00575256,0.02144718,0.06682596,1.52400050,0.86642462,0.04594028
X01,2004-03-06T22:35:00,1711,0.80678544,0.00560268,0.01981067,0.06818078,1.50537492,0.78821910,-0.02301275
X01,2004-03-06T23:20:00,1720,0.72950374,0.00506600,0.01910166,0.06055888,1.52323839,0.72137451,-0.01114351
X01,2004-03-07T00:00:00,1728,0.72890210,0.00506182,0.01755651,0.05594186,1.46644349,0.73029529,0.00191135
X01,2004-03-07T00:45:00,1737,0.78407576,0.00544497,0.01803181,0.06108535,1.51186681,0.75387407,-0.03851885
X01,2004-03-07T01:25:00,1745,0.79311849,0.00550777,0.01716111,0.07330311,1.58673353,0.82631519,0.04185592
X01,2004-03-07T02:10:00,1754,0.80528887,0.00559228,0.01733290,0.05999043,1.42865159,0.76229149,-0.05339374
X01,2004-03-07T02:50:00,1762,0.78957593,0.00548317,0.01932528,0.06606814,1.52170102,0.72875977,-0.07702383
X01,2004-03-07T03:35:00,1771,0.78863602,0.00547664,0.01866241,0.06560728,1.55681972,0.80839896,0.02505966
X01,2004-03-07T04:15:00,1779,0.78806589,0.00547268,0.01839669,0.09487678,1.82988477,0.78652657,-0.00195328
X01,2004-03-07T04:55:00,1787,0.73835627,0.00512747,0.01799051,0.07139652,1.65925816,0.77884923,0.05484204
X01,2004-03-07T05:40:00,1796,0.76289561,0.00529789,0.01825631,0.06868883,1.59353075,0.75762231,-0.00691221
X01,2004-03-07T06:20:00,1804,0.69687440,0.00483941,0.01788657,0.06783870,1.66179881,0.69869544,0.00261316
X01,2004-03-07T07:05:00,1813,0.73967814,0.00513665,0.01702106,0.07160731,1.66652728,0.75668767,0.02299585
X01,2004-03-07T07:45:00,1821,0.75124191,0.00521696,0.01856100,0.06884398,1.65799960,0.75495483,0.00494238
X01,2004-03-07T08:30:00,1830,0.78897236,0.00547897,0.01782835,0.06775012,1.53189387,0.76106879,-0.03536699
X01,2004-03-07T09:10:00,1838,0.77379379,0.00537357,0.01840503,0.06117531,1.45463561,0.76926985,-0.00584644
X01,2004-03-07T09:50:00,1846,0.78172830,0.00542867,0.01995613,0.08016322,1.68017505,0.75777668,-0.03063932
X01,2004-03-07T10:35:00,1855,0.77192666,0.00536060,0.02125099,0.07425669,1.69111486,0.77345743,0.00198305
X01,2004-03-07T11:15:00,1863,0.67323719,0.00467526,0.01602390,0.07596468,1.76585164,0.66893479,-0.00639061
X01,2004-03-07T12:00:00,1872,0.69056439,0.00479559,0.01777799,0.06440986,1.59588845,0.66605625,-0.03549002
X01,2004-03-07T12:40:00,1880,0.69435348,0.00482190,0.01824069,0.06901736,1.70545568,0.70766614,0.01917275
X01,2004-03-07T13:25:00,1889,0.70108373,0.00486864,0.01749704,0.07812836,1.81785750,0.74784598,0.06669996
X01,2004-03-07T14:05:00,1897,0.68231674,0.00473831,0.01919167,0.06572408,1.69648276,0.72571125,0.06359877
X01,2004-03-07T14:45:00,1905,0.74640632,0.00518338,0.01929064,0.05979590,1.62218316,0.70599355,-0.05414312
